service_id,date,exception_type
1,20220917,1
1,20220918,1
1,20220924,1
1,20220925,1
1,20221001,1
1,20221002,1
1,20221008,1
1,20221009,1
1,20221015,1
1,20221016,1
1,20221022,1
1,20221023,1
1,20221029,1
1,20221030,1
1,20221105,1
1,20221106,1
1,20221112,1
1,20221113,1
1,20221119,1
1,20221120,1
1,20221124,1
1,20221125,1
1,20221126,1
1,20221127,1
1,20221203,1
1,20221204,1
1,20221210,1
1,20221211,1
1,20221217,1
1,20221218,1
1,20221224,1
1,20221225,1
1,20221226,1
1,20221231,1
1,20230101,1
1,20230102,1
1,20230107,1
1,20230108,1
1,20230114,1
1,20230115,1
1,20230116,1
1,20230121,1
1,20230122,1
1,20230128,1
1,20230129,1
1,20230204,1
1,20230205,1
1,20230211,1
1,20230212,1
1,20230218,1
1,20230219,1
1,20230220,1
1,20230225,1
2,20220913,1
2,20220914,1
2,20220915,1
2,20220916,1
2,20220919,1
2,20220920,1
2,20220921,1
2,20220922,1
2,20220923,1
2,20220926,1
2,20220927,1
2,20220928,1
2,20220929,1
2,20220930,1
2,20221003,1
2,20221004,1
2,20221005,1
2,20221006,1
2,20221007,1
2,20221010,1
2,20221011,1
2,20221012,1
2,20221013,1
2,20221014,1
2,20221017,1
2,20221018,1
2,20221019,1
2,20221020,1
2,20221021,1
2,20221024,1
2,20221025,1
2,20221026,1
2,20221027,1
2,20221028,1
2,20221031,1
2,20221101,1
2,20221102,1
2,20221103,1
2,20221104,1
2,20221107,1
2,20221108,1
2,20221109,1
2,20221110,1
2,20221111,1
2,20221114,1
2,20221115,1
2,20221116,1
2,20221117,1
2,20221118,1
2,20221121,1
2,20221122,1
2,20221123,1
2,20221128,1
2,20221129,1
2,20221130,1
2,20221201,1
2,20221202,1
2,20221205,1
2,20221206,1
2,20221207,1
2,20221208,1
2,20221209,1
2,20221212,1
2,20221213,1
2,20221214,1
2,20221215,1
2,20221216,1
2,20221219,1
2,20221220,1
2,20221221,1
2,20221222,1
2,20221223,1
2,20221227,1
2,20221228,1
2,20221229,1
2,20221230,1
2,20230103,1
2,20230104,1
2,20230105,1
2,20230106,1
2,20230109,1
2,20230110,1
2,20230111,1
2,20230112,1
2,20230113,1
2,20230117,1
2,20230118,1
2,20230119,1
2,20230120,1
2,20230123,1
2,20230124,1
2,20230125,1
2,20230126,1
2,20230127,1
2,20230130,1
2,20230131,1
2,20230201,1
2,20230202,1
2,20230203,1
2,20230206,1
2,20230207,1
2,20230208,1
2,20230209,1
2,20230210,1
2,20230213,1
2,20230214,1
2,20230215,1
2,20230216,1
2,20230217,1
2,20230221,1
2,20230222,1
2,20230223,1
2,20230224,1
3,20220913,1
3,20220914,1
3,20220915,1
3,20220916,1
3,20220919,1
3,20220920,1
3,20220921,1
3,20220922,1
3,20220923,1
4,20220926,1
4,20220927,1
4,20220928,1
4,20220929,1
4,20220930,1
4,20221003,1
4,20221004,1
4,20221005,1
4,20221006,1
4,20221007,1
4,20221010,1
4,20221011,1
4,20221012,1
4,20221013,1
4,20221014,1
4,20221017,1
4,20221018,1
4,20221019,1
4,20221020,1
4,20221021,1
4,20221024,1
4,20221025,1
4,20221026,1
4,20221027,1
4,20221028,1
4,20221031,1
4,20221101,1
4,20221102,1
4,20221103,1
4,20221104,1
4,20221107,1
4,20221108,1
4,20221109,1
4,20221110,1
4,20221111,1
5,20221116,1
6,20220917,1
6,20220918,1
7,20220925,1
7,20221001,1
7,20221002,1
7,20221008,1
7,20221009,1
7,20221015,1
7,20221016,1
7,20221022,1
7,20221023,1
7,20221029,1
7,20221030,1
7,20221105,1
7,20221106,1
8,20220924,1
9,20220917,1
9,20220918,1
9,20220924,1
10,20220925,1
10,20221001,1
10,20221002,1
10,20221008,1
10,20221009,1
10,20221015,1
10,20221016,1
10,20221022,1
10,20221023,1
10,20221029,1
10,20221030,1
10,20221105,1
10,20221106,1
10,20221112,1
11,20221115,1
12,20221115,1
12,20221116,1
13,20220917,1
13,20220924,1
13,20221001,1
13,20221008,1
13,20221015,1
13,20221022,1
13,20221029,1
13,20221105,1
13,20221112,1
13,20221119,1
13,20221126,1
13,20221203,1
13,20221210,1
13,20221217,1
13,20221224,1
13,20221231,1
13,20230107,1
13,20230114,1
13,20230121,1
13,20230128,1
13,20230204,1
13,20230211,1
13,20230218,1
13,20230225,1
13,20230304,1
13,20230311,1
14,20220918,1
14,20220925,1
14,20221002,1
14,20221009,1
14,20221016,1
14,20221023,1
14,20221030,1
14,20221106,1
14,20221113,1
14,20221120,1
14,20221127,1
14,20221204,1
14,20221211,1
14,20221218,1
14,20221225,1
14,20230101,1
14,20230108,1
14,20230115,1
14,20230122,1
14,20230129,1
14,20230205,1
14,20230212,1
14,20230219,1
14,20230226,1
14,20230305,1
15,20220913,1
15,20220914,1
15,20220915,1
15,20220916,1
15,20220919,1
15,20220920,1
15,20220921,1
15,20220922,1
15,20220923,1
15,20220926,1
15,20220927,1
15,20220928,1
15,20220929,1
15,20220930,1
15,20221003,1
15,20221004,1
15,20221005,1
15,20221006,1
15,20221007,1
15,20221010,1
15,20221011,1
15,20221012,1
15,20221013,1
15,20221014,1
15,20221017,1
15,20221018,1
15,20221019,1
15,20221020,1
15,20221021,1
15,20221024,1
15,20221025,1
15,20221026,1
15,20221027,1
15,20221028,1
15,20221031,1
15,20221101,1
15,20221102,1
15,20221103,1
15,20221104,1
15,20221107,1
15,20221108,1
15,20221109,1
15,20221110,1
15,20221111,1
15,20221114,1
15,20221115,1
15,20221116,1
15,20221117,1
15,20221118,1
15,20221121,1
15,20221122,1
15,20221123,1
15,20221124,1
15,20221125,1
15,20221128,1
15,20221129,1
15,20221130,1
15,20221201,1
15,20221202,1
15,20221205,1
15,20221206,1
15,20221207,1
15,20221208,1
15,20221209,1
15,20221212,1
15,20221213,1
15,20221214,1
15,20221215,1
15,20221216,1
15,20221219,1
15,20221220,1
15,20221221,1
15,20221222,1
15,20221223,1
15,20221226,1
15,20221227,1
15,20221228,1
15,20221229,1
15,20221230,1
15,20230102,1
15,20230103,1
15,20230104,1
15,20230105,1
15,20230106,1
15,20230109,1
15,20230110,1
15,20230111,1
15,20230112,1
15,20230113,1
15,20230116,1
15,20230117,1
15,20230118,1
15,20230119,1
15,20230120,1
15,20230123,1
15,20230124,1
15,20230125,1
15,20230126,1
15,20230127,1
15,20230130,1
15,20230131,1
15,20230201,1
15,20230202,1
15,20230203,1
15,20230206,1
15,20230207,1
15,20230208,1
15,20230209,1
15,20230210,1
15,20230213,1
15,20230214,1
15,20230215,1
15,20230216,1
15,20230217,1
15,20230220,1
15,20230221,1
15,20230222,1
15,20230223,1
15,20230224,1
15,20230227,1
15,20230228,1
15,20230301,1
15,20230302,1
15,20230303,1
15,20230306,1
15,20230307,1
15,20230308,1
15,20230309,1
15,20230310,1
16,20220917,1
16,20220918,1
16,20220924,1
16,20220925,1
16,20221001,1
16,20221002,1
16,20221008,1
16,20221009,1
16,20221015,1
16,20221016,1
16,20221022,1
16,20221023,1
16,20221029,1
16,20221030,1
16,20221105,1
16,20221106,1
16,20221112,1
17,20220916,1
17,20220917,1
17,20220923,1
18,20220930,1
18,20221001,1
18,20221007,1
18,20221008,1
18,20221014,1
18,20221015,1
18,20221021,1
18,20221022,1
18,20221028,1
18,20221029,1
18,20221104,1
18,20221105,1
18,20221111,1
19,20220913,1
19,20220914,1
19,20220915,1
19,20220918,1
19,20220919,1
19,20220920,1
19,20220921,1
19,20220922,1
20,20220925,1
20,20220926,1
20,20220927,1
20,20220928,1
20,20220929,1
20,20221002,1
20,20221003,1
20,20221004,1
20,20221005,1
20,20221006,1
20,20221009,1
20,20221010,1
20,20221011,1
20,20221012,1
20,20221013,1
20,20221016,1
20,20221017,1
20,20221018,1
20,20221019,1
20,20221020,1
20,20221023,1
20,20221024,1
20,20221025,1
20,20221026,1
20,20221027,1
20,20221030,1
20,20221031,1
20,20221101,1
20,20221102,1
20,20221103,1
20,20221106,1
20,20221107,1
20,20221108,1
20,20221109,1
20,20221110,1
21,20220916,1
21,20220917,1
21,20220923,1
21,20220924,1
21,20220930,1
21,20221001,1
21,20221007,1
21,20221008,1
21,20221014,1
21,20221015,1
21,20221021,1
21,20221022,1
21,20221028,1
21,20221029,1
21,20221104,1
21,20221105,1
21,20221111,1
22,20220913,1
22,20220914,1
22,20220915,1
22,20220916,1
22,20220919,1
22,20220920,1
22,20220921,1
22,20220922,1
22,20220923,1
22,20220926,1
22,20220927,1
22,20220928,1
22,20220929,1
22,20220930,1
22,20221003,1
22,20221004,1
22,20221005,1
22,20221006,1
22,20221007,1
22,20221010,1
22,20221011,1
22,20221012,1
22,20221013,1
22,20221014,1
22,20221017,1
22,20221018,1
22,20221019,1
22,20221020,1
22,20221021,1
22,20221024,1
22,20221025,1
22,20221026,1
22,20221027,1
22,20221028,1
22,20221031,1
22,20221101,1
22,20221102,1
22,20221103,1
22,20221104,1
22,20221107,1
22,20221108,1
22,20221109,1
22,20221110,1
22,20221111,1
23,20220917,1
23,20220918,1
